"_raw",CharCount
"கொடியார் கொடுமை உரைக்கும் தொடியொடு
தொல்கவின் வாடிய தோள் ⁠1235",26
"பணைநீங்கிப் பைந்தொடி சோரும் துணைநீங்கித்
தொல்கவின் வாடிய தோள் ⁠1234",29
"தணந்தமை சால அறிவிப்ப போலும்
மணந்தநாள் வீங்கிய தோள் ⁠1233",27
"நயந்தவர் நல்காமை சொல்லுவ போலும்
பசந்து பனிவாரும் கண் ⁠1232",28
"சிறுமை நமக்கொழியச் சேட்சென்றார் உள்ளி
நறுமலர் நாணின கண் ⁠1231",29
"பொருள்மாலை யாளரை உள்ளி மருள்மாலை
மாயும்என் மாயா உயிர் ⁠1230",26
"பதிமருண்டு பைதல் உழக்கும் மதிமருண்டு
மாலை படர்தரும் போழ்து ⁠1229",31
"அழல்போலும் மாலைக்குத் தூதாகி ஆயன்
குழல்போலும் கொல்லும் படை ⁠1228",29
"காலை அரும்பிப் பகலெல்லாம் போதாகி
மாலை மலரும்இந் நோய் ⁠1227",26
"மாலைநோய் செய்தல் மணந்தார் அகலாத
காலை அறிந்த திலேன் ⁠1226",26
"காலைக்குச் செய்தநன்று என்கொல் எவன்கொல்யான்
மாலைக்குச் செய்த பகை ⁠1225",32
"காதலர் இல்வழி மாலை கொலைக்களத்து
ஏதிலர் போல வரும் ⁠1224",26
"பனிஅரும்பிப் பைதல்கொள் மாலை துனிஅரும்பித்
துன்பம் வளர வரும் ⁠1223",31
"புன்கண்ணை வாழி மருள்மாலை எம்கேள்போல்
வன்கண்ண தோநின் துணை ⁠1222",28
"மாலையோ அல்லை மணந்தார் உயிருண்ணும்
வேலைநீ வாழி பொழுது ⁠1221",25
"நனவினால் நம்நீத்தார் என்பர் கனவினால்
காணார்கொல் இவ்வூ ரவர் ⁠1220",31
"நனவினால் நல்காரை நோவர் கனவினால்
காதலர்க் காணா தவர் ⁠1219",27
"துஞ்சுங்கால் தோள்மேலர் ஆகி விழிக்குங்கால்
நெஞ்சத்தர் ஆவர் விரைந்து ⁠1218",33
"நனவினால் நல்காக் கொடியார் கனவனால்
என்எம்மைப் பீழிப் பது ⁠1217",29
"நனவென ஒன்றில்லை ஆயின் கனவினால்
காதலர் நீங்கலர் மன் ⁠1216",28
"நனவினால் கண்டதூஉம் ஆங்கே கனவுந்தான்
கண்ட பொழுதே இனிது ⁠1215",29
"கனவினான் உண்டாகும் காமம் நனவினான்
நல்காரை நாடித் தரற்கு ⁠1214",29
"நனவினால் நல்கா தவரைக் கனவினால்
காண்டலின் உண்டென் உயிர் ⁠1213",29
"கயலுண்கண் யானிரப்பத் துஞ்சிற் கலந்தார்க்கு
உயலுண்மை சாற்றுவேன் மன் ⁠1212",35
"காதலர் தூதொடு வந்த கனவினுக்கு
யாதுசெய் வேன்கொல் விருந்து ⁠1211",28
"விடாஅது சென்றாரைக் கண்ணினால் காணப்
படாஅதி வாழி மதி ⁠1210",25
"விளியுமென் இன்னுயிர் வேறல்லம் என்பார்
அளியின்மை ஆற்ற நினைந்து ⁠1209",31
"எனைத்து நினைப்பினும் காயார் அனைத்தன்றோ
காதலர் செய்யும் சிறப்பு ⁠1208",31
"மறப்பின் எவனாவன் மற்கொல் மறப்பறியேன்
உள்ளினும் உள்ளம் சுடும் ⁠1207",33
"மற்றியான் என்னுளேன் மன்னோ அவரொடுயான்
உற்றநாள் உள்ள உளேன் ⁠1206",30
"தம்நெஞ்சத்து எம்மைக் கடிகொண்டார் நாணார்கொல்
எம்நெஞ்சத்து ஓவா வரல் ⁠1205",34
"யாமும் உளேங்கொல் அவர்நெஞ்சத்து எந்நெஞ்சத்து
ஓஒ உளரே அவர் ⁠1204",31
"நினைப்பவர் போன்று நினையார்கொல் தும்மல்
சினைப்பது போன்று கெடும் ⁠1203",30
"எனைத்தொன்று இனிதேகாண் காமம்தாம் வீழ்வார்
நினைப்ப வருவதொன்று இல் ⁠1202",32
"உள்ளினும் தீராப் பெருமகிழ் செய்தலால்
கள்ளினும் காமம் இனிது ⁠1201",29
"உறாஅர்க்கு உறுநோய் உரைப்பாய் கடலைச்
செறாஅஅய் வாழிய நெஞ்சு ⁠1200",30
"நசைஇயார் நல்கார் எனினும் அவர்மாட்டு
இசையும் இனிய செவிக்கு ⁠1199",30
"வீழ்வாரின் இன்சொல் பெறாஅது உலகத்து
வாழ்வாரின் வன்கணார் இல் ⁠1198",30
"பருவரலும் பைதலும் காணான்கொல் காமன்
ஒருவர்கண் நின்றொழுகு வான் ⁠1197",31
"ஒருதலையான் இன்னாது காமம்காப் போல
இருதலை யானும் இனிது ⁠1196",27
"நாம்காதல் கொண்டார் நமக்கெவன் செய்பவோ
தாம்காதல் கொள்ளாக் கடை ⁠1195",30
"வீழப் படுவார் கெழீஇயிலர் தாம்வீழ்வார்
வீழப் படாஅர் எனின் ⁠1194",29
"வீழுநர் வீழப் படுவார்க்கு அமையுமே
வாழுநம் என்னும் செருக்கு ⁠1193",29
"வாழ்வார்க்கு வானம் பயந்தற்றால் வீழ்வார்க்கு
வீழ்வார் அளிக்கும் அளி ⁠1192",33
"தாம்வீழ்வார் தம்வீழப் பெற்றவர் பெற்றாரே
காமத்துக் காழில் கனி ⁠1191",30
"பசப்பெனப் பேர்பெறுதல் நன்றே நயப்பித்தார்
நல்காமை தூற்றார் எனின் ⁠1190",33
"பசக்கமன் பட்டாங்கென் மேனி நயப்பித்தார்
நன்னிலையர் ஆவர் எனின் ⁠1189",33
"பசந்தாள் இவள்என்பது அல்லால் இவளைத்
துறந்தார் அவர்என்பார் இல் ⁠1188",34
"புல்லிக் கிடந்தேன் புடைபெயர்ந்தேன் அவ்வளவில்
அள்ளிக்கொள் வற்றே பசப்பு ⁠1187",36
"விளக்கற்றம் பார்க்கும் இருளேபோல் கொண்கன்
முயக்கற்றம் பார்க்கும் பசப்பு ⁠1186",37
"உவக்காண்எம் காதலர் செல்வார் இவக்காண்என்
மேனி பசப்பூர் வது ⁠1185",31
"உள்ளுவன் மன்யான் உரைப்பது அவர்திறமால்
கள்ளம் பிறவோ பசப்பு ⁠1184",32
"சாயலும் நாணும் அவர்கொண்டார் கைம்மாறா
நோயும் பசலையும் தந்து ⁠1183",29
"அவர்தந்தார் என்னும் தகையால் இவர்தந்தென்
மேனிமேல் ஊரும் பசப்பு ⁠1182",33
"நயந்தவர்க்கு நல்காமை நேர்ந்தேன் பசந்தவென்
பண்பியார்க்கு உரைக்கோ பிற ⁠1181",36
"மறைபெறல் ஊரார்க்கு அரிதன்றால் எம்போல்
அறைபறை கண்ணார் அகத்து ⁠1180",32
"வாராக்கால் துஞ்சா வரின்துஞ்சா ஆயிடை
ஆரஞர் உற்றன கண் ⁠1179",27
"பேணாது பெட்டார் உளர்மன்னோ மற்றவர்க்
காணாது அமைவில கண் ⁠1178",28
"உழந்துழந் துள்நீர் அறுக விழைந்திழைந்து
வேண்டி அவர்க்கண்ட கண் ⁠1177",32
"ஓஒ இனிதே எமக்கிந்நோய் செய்தகண்
தாஅம் இதற்பட் டது ⁠1176",27
"படலாற்றா பைதல் உழக்கும் கடலாற்றாக்
காமநோய் செய்தஎன் கண் ⁠1175",30
"பெயலாற்றா நீருலந்த உண்கண் உயலாற்றா
உய்வில்நோய் என்கண் நிறுத்து ⁠1174",33
"கதுமெனத் தாநோக்கித் தாமே கலுழும்
இதுநகத் தக்க துடைத்து ⁠1173",28
"தெரிந்துணரா நோக்கிய உண்கண் பரிந்துணராப்
பைதல் உழப்பது எவன் ⁠1172",32
"கண்தாம் கலுழ்வ தெவன்கொலோ தண்டாநோய்
தாம்காட்ட யாம்கண் டது ⁠1171",29
"உள்ளம்போன்று உள்வழிச் செல்கிற்பின் வெள்ளநீர்
நீந்தல மன்னோஎன் கண் ⁠1170",34
"கொடியார் கொடுமையின் தாம்கொடிய இந்நாள்
நெடிய கழியும் இரா ⁠1169",27
"மன்னுயிர் எல்லாம் துயிற்றி அளித்திரா
என்னல்லது இல்லை துணை ⁠1168",29
"காமக் கடும்புனல் நீந்திக் கரைகாணேன்
யாமத்தும் யானே உளேன் ⁠1167",28
"இன்பம் கடல்மற்றுக் காமம் அஃதடுங்கால்
துன்பம் அதனிற் பெரிது ⁠1166",32
"துப்பின் எவனாவர் மன்கொல் துயர்வரவு
நட்பினுள் ஆற்று பவர் ⁠1165",30
"காமக் கடல்மன்னும் உண்டே அதுநீந்தும்
ஏமப் புணைமன்னும் இல் ⁠1164",30
"காமமும் நாணும் உயிர்காவாத் தூங்கும்என்
நோனா உடம்பின் அகத்து ⁠1163",30
"கரத்தலும் ஆற்றேன்இந் நோயைநோய் செய்தார்க்கு
உரைத்தலும் நாணுத் தரும் ⁠1162",34
"மறைப்பேன்மன் யானிஃதோ நோயை இறைப்பவர்க்கு
ஊற்றுநீர் போல மிகும் ⁠1161",31
"அரிதாற்றி அல்லல்நோய் நீக்கிப் பிரிவாற்றிப்
பின்இருந்து வாழ்வார் பலர் ⁠1160",34
"தொடிற்சுடின் அல்லது காமநோய் போல
விடிற்சுடல் ஆற்றுமோ தீ ⁠1159",27
"இன்னாது இனன்இல்ஊர் வாழ்தல் அதனினும்
இன்னாது இனியார்ப் பிரிவு ⁠1158",32
"துறைவன் துறந்தமை தூற்றாகொல் முன்கை
இறைஇறவா நின்ற வளை ⁠1157",27
"பிரிவுரைக்கும் வன்கண்ணர் ஆயின் அரிதவர்
நல்குவர் என்னும் நசை ⁠1156",32
"ஓம்பின் அமைந்தார் பிரிவோம்பல் மற்றவர்
நீங்கின் அரிதால் புணர்வு ⁠1155",32
"அளித்தஞ்சல் என்றவர் நீப்பின் தெளித்தசொல்
தேறியார்க்கு உண்டோ தவறு ⁠1154",34
"அரிதரோ தேற்றம் அறிவுடையார் கண்ணும்
பிரிவோ ரிடத்துண்மை யான் ⁠1153",29
"இன்கண் உடைத்தவர் பார்வல் பிரிவஞ்சும்
புன்கண் உடைத்தால் புணர்வு ⁠1152",33
"செல்லாமை உண்டேல் எனக்குரை மற்றுநின்
வல்வரவு வாழ்வார்க் குரை ⁠1151",30
"தாம்வேண்டின் நல்குவர் காதலர் யாம்வேண்டும்
கெளவை எடுக்கும்இவ் வூர் ⁠1150",33
"அலர்நாண ஒல்வதோ அஞ்சலோம்பு என்றார்
பலர்நாண நீத்தக் கடை ⁠1149",30
"நெய்யால் எரிநுதுப்பேம் என்றற்றால் கெளவையால்
காமம் நுதுப்பேம் எனல் ⁠1148",33
"ஊரவர் கெளவை எருவாக அன்னைசொல்
நீராக நீளும்இந் நோய் ⁠1147",26
"கண்டது மன்னும் ஒருநாள் அலர்மன்னும்
திங்களைப் பாம்புகொண் டற்று ⁠1146",32
"களித்தொறும் கள்ளுண்டல் வேட்டற்றால் காமம்
வெளிப்படுந் தோறும் இனிது ⁠1145",33
"கவ்வையால் கவ்விது காமம் அதுவின்றேல்
தவ்வென்னும் தன்மை இழந்து ⁠1144",31
"உறாஅதோ ஊரறிந்த கெளவை அதனைப்
பெறாஅது பெற்றன்ன நீர்த்து ⁠1143",29
"மலரன்ன கண்ணாள் அருமை அறியாது
அலரெமக்கு ஈந்ததிவ் வூர் ⁠1142",29
"அலரெழ ஆருயிர் நிற்கும் அதனைப்
பலரறியார் பாக்கியத் தால் ⁠1141",29
"யாம்கண்ணின் காண நகுப அறிவில்லார்
யாம்பட்ட தாம்படா ஆறு ⁠1140",28
"அறிகிலார் எல்லாரும் என்றேஎன் காமம்
மறுகின் மறுகும் மருண்டு ⁠1139",30
"நிறையரியர் மன்அளியர் என்னாது காமம்
மறையிறந்து மன்று படும் ⁠1138",31
"கடலன்ன காமம் உழந்தும் மடலேறாப்
பெண்ணின் பெருந்தக்க தில் ⁠1137",30
"மடலூர்தல் யாமத்தும் உள்ளுவேன் மன்ற
படல்ஒல்லா பேதைக்கென் கண் ⁠1136",32
"தொடலைக் குறுந்தொடி தந்தாள் மடலொடு
மாலை உழக்கும் துயர் ⁠1135",27
"காமக் கடும்புனல் உய்க்கும் நாணொடு
நல்லாண்மை என்னும் புணை ⁠1134",28
"நாணொடு நல்லாண்மை பண்டுடையேன் இன்றுடையேன்
காமுற்றார் ஏறும் மடல் ⁠1133",31
"நோனா உடம்பும் உயிரும் மடலேறும்
நாணினை நீக்கி நிறுத்து ⁠1132",26
"காமம் உழந்து வருந்தினார்க்கு ஏமம்
மடலல்லது இல்லை வலி ⁠1131",29
"உவந்துறைவர் உள்ளத்துள் என்றும் இகந்துறைவர்
ஏதிலர் என்னும்இவ் வூர் ⁠1130",36
"இமைப்பின் கரப்பாக்கு அறிவல் அனைத்திற்கே
ஏதிலர் என்னும்இவ் வூர் ⁠1129",33
"நெஞ்சத்தார் காத லவராக வெய்துண்டல்
அஞ்சுதும் வேபாக் கறிந்து ⁠1128",30
"கண்ணுள்ளார் காத லவராகக் கண்ணும்
எழுதேம் கரப்பாக்கு அறிந்து ⁠1127",31
"கண்ணுள்ளின் போகார் இமைப்பின் பருகுவரா
நுண்ணியர்எம் காத லவர் ⁠1126",31
"உள்ளுவன் மன்யான் மறப்பின் மறப்பறியேன்
ஒள்ளமர்க் கண்ணாள் குணம் ⁠1125",34
"வாழ்தல் உயிர்க்கன்னள் ஆயிழை சாதல்
அதற்கன்னள் நீங்கும் இடத்து ⁠1124",33
"கருமணியிற் பாவாய்நீ போதாயாம் வீழும்
திருநுதற்கு இல்லை இடம் ⁠1123",29
"உடம்பொடு உயிரிடை என்னமற் றன்ன
மடந்தையொடு எம்மிடை நட்பு ⁠1122",30
"பாலொடு தேன்கலந் தற்றே பணிமொழி
வாலெயிறு ஊறிய நீர் ⁠1121",24
"அனிச்சமும் அன்னத்தின் தூவியும் மாதர்
அடிக்கு நெருஞ்சிப் பழம் ⁠1120",31
"மலரன்ன கண்ணாள் முகமொத்தி யாயின்
பலர்காணத் தோன்றல் மதி ⁠1119",29
"மாதர் முகம்போல் ஒளிவிட வல்லையேல்
காதலை வாழி மதி ⁠1118",24
"அறுவாய் நிறைந்த அவிர்மதிக்குப் போல
மறுவுண்டோ மாதர் முகத்து ⁠1117",30
"மதியும் மடந்தை முகனும் அறியா
பதியின் கலங்கிய மீன் ⁠1116",26
"அனிச்சப்பூக் கால்களையாள் பெய்தாள் நுகப்பிற்கு
நல்ல படாஅ பறை ⁠1115",31
"காணின் குவளை கவிழ்ந்து நிலன்நோக்கும்
மாணிழை கண்ணொவ்வேம் என்று ⁠1114",30
"முறிமேனி முத்தம் முறுவல் வெறிநாற்றம்
வேலுண்கண் வேய்த்தோ ளவட்கு ⁠1113",31
"மலர்காணின் மையாத்தி நெஞ்சே இவள்கண்
பலர்காணும் பூவொக்கும் என்று ⁠1112",32
"நன்னீரை வாழி அனிச்சமே நின்னினும்
மென்னீரள் யாம்வீழ் பவள் ⁠1111",28
"அறிதோறு அறியாமை கண்டற்றால் காமம்
செறிதோறும் சேயிழை மாட்டு ⁠1110",28
"ஊடல் உணர்தல் புணர்தல் இவைகாமம்
கூடியார் பெற்ற பயன் ⁠1109",28
"வீழும் இருவர்க்கு இனிதே வளியிடை
போழப் படாஅ முயக்கு ⁠1108",26
"தம்மில் இருந்து தமதுபாத்து உண்டற்றால்
அம்மா அரிவை முயக்கு ⁠1107",30
"உறுதோறு உயிர்தளிர்ப்பத் தீண்டலால் பேதைக்கு
அமிழ்தின் இயன்றன தோள் ⁠1106",34
"வேட்ட பொழுதின் அவையவை போலுமே
தோட் டார் கதுப்பினாள் தோள் ⁠1105",26
"நீங்கின் தெறூஉம் குறுகுங்கால் தண்ணென்னும்
தீயாண்டுப் பெற்றாள் இவள் ⁠1104",32
"தாம்வீழ்வார் மென்றோள் துயிலின் இனிதுகொல்
தாமரைக் கண்ணான் உலகு ⁠1103",30
"பிணிக்கு மருந்து பிறமன் அணியிழை
தன்நோய்க்குத் தானே மருந்து ⁠1102",29
"கண்டுகேட்டு உண்டுயிர்த்து உற்றறியும் ஐம்புலனும்
ஒண்தொடி கண்ணே உள ⁠1101",34
"கண்ணொடு கண்இணை நோக்கொக்கின் வாய்ச்சொற்கள்
என்ன பயனும் இல ⁠1100",30
"ஏதிலார் போலப் பொதுநோக்கு நோக்குதல்
காதலார் கண்ணே உள ⁠1099",26
"அசையியற்கு உண்டாண்டோர் ஏஎர்யான் நோக்கப்
பசையினள் பைய நகும் ⁠1098",31
"செறாஅச் சிறுசொல்லும் செற்றார்போல் நோக்கும்
உறாஅர்போன்று உற்றார் குறிப்பு ⁠1097",35
"உறாஅ தவர்போல் சொலினும் செறாஅர்சொல்
ஒல்லை உணரப் படும் ⁠1096",28
"குறிக்கொண்டு நோக்காமை அல்லால் ஒருகண்
சிறக்கணித்தாள் போல நகும் ⁠1095",31
"யான்நோக்கும் காலை நிலன்நோக்கும் நோக்காக்கால்
தான்நோக்கி மெல்ல நகும் ⁠1094",32
"நோக்கினாள் நோக்கி இறைஞ்சினாள் அஃதவள்
யாப்பினுள் அட்டிய நீர் ⁠1093",30
"கண்களவு கொள்ளும் சிறுநோக்கம் காமத்தில்
செம்பாகம் அன்று பெரிது ⁠1092",31
"இருநோக்கு இவளுண்கண் உள்ளது ஒருநோக்கு
நோய்நோக்கொன் றந்நோய் மருந்து ⁠1091",34
"உண்டார்கண் அல்லது அடுநறாக் காமம்போல்
கண்டார் மகிழ்செய்தல் இன்று ⁠1090",34
"பிணையேர் மடநோக்கும் நாணும் உடையாட்கு
அணியெவனோ ஏதில தந்து ⁠1089",29
"ஒண்ணுதற் கோஒ உடைந்ததே ஞாட்பினுள்
நண்ணாரும் உட்குமென் பீடு ⁠1088",29
"கடாஅக் களிற்றின்மேற் கட்படாம் மாதர்
படாஅ முலைமேல் துகில் ⁠1087",29
"கொடும்புருவம் கோடா மறைப்பின் நடுங்கஞர்
செய்யல மன்இவள் கண் ⁠1086",31
"கூற்றமோ கண்ணோ பிணையோ மடவரல்
நோக்கமிம் மூன்றும் உடைத்து ⁠1085",28
"கண்டார் உயிருண்ணும் தோற்றத்தால் பெண்டகைப்
பேதைக்கு அமர்த்தன கண் ⁠1084",33
"பண்டறியேன் கூற்றென் பதனை இனியறிந்தேன்
பெண்டகையால் பேரமர்க் கட்டு ⁠1083",34
"நோக்கினாள் நோக்கெதிர் நோக்குதல் தாக்கணங்கு
தானைக்கொண் டன்ன துடைத்து ⁠1082",33
"அணங்குகொல் ஆய்மயில் கொல்லோ கனங்குழை
மாதர்கொல் மாலும்என் நெஞ்சு ⁠1081",32
"எற்றிற் குரியர் கயவரொன்று உற்றக்கால்
விற்றற்கு உரியர் விரைந்து ⁠1080",33
"உடுப்பதூஉம் உண்பதூஉம் காணின் பிறர்மேல்
வடுக்காண வற்றாகும் கீழ் ⁠1079",33
"சொல்லப் பயன்படுவர் சான்றோர் கரும்புபோல்
கொல்லப் பயன்படும் கீழ் ⁠1078",33
"ஈர்ங்கை விதிரார் கயவர் கொடிறுடைக்கும்
கூன்கையர் அல்லா தவர்க்கு ⁠1077",32
"அறைபறை அன்னர் கயவர்தாம் கேட்ட
மறைபிறர்க்கு உய்த்துரைக்க லான் ⁠1076",33
"அச்சமே கீழ்களது ஆசாரம் எச்சம்
அவாவுண்டேல் உண்டாம் சிறிது ⁠1075",30
"அகப்பட்டி ஆவாரைக் காணின் அவரின்
மிகப்பட்டுச் செம்மாக்கும் கீழ் ⁠1074",32
"தேவர் அனையர் கயவர் அவருந்தாம்
மேவன செய்தொழுக லான் ⁠1073",27
"நன்றறி வாரிற் கயவர் திருவுடையர்
நெஞ்சத்து அவலம் இலர் ⁠1072",29
"மக்களே போல்வர் கயவர் அவரன்ன
ஒப்பாரி யாங்கண்ட தில் ⁠1071",28
"கரப்பவர்க்கு யாங்கொளிக்கும் கொல்லோ இரப்பவர்
சொல்லாடப் போஒம் உயிர் ⁠1070",35
"இரவுள்ள உள்ளம் உருகும் கரவுள்ள
உள்ளதூஉம் இன்றிக் கெடும் ⁠1069",31
"இரவென்னும் ஏமாப்பில் தோணி கரவென்னும்
பார்தாக்கப் பக்கு விடும் ⁠1068",31
"இரப்பன் இரப்பாரை எல்லாம் இரப்பின்
கரப்பார் இரவன்மின் என்று ⁠1067",33
"ஆவிற்கு நீரென்று இரப்பினும் நாவிற்கு
இரவின் இளிவந்த தில் ⁠1066",29
"தெண்ணீர் அடுபுற்கை ஆயினும் தாள்தந்தது
உண்ணலின் ஊங்கினிய தில் ⁠1065",31
"இடமெல்லாம் கொள்ளாத் தகைத்தே இடமில்லாக்
காலும் இரவொல்லாச் சால்பு ⁠1064",32
"இன்மை இடும்பை இரந்துதீர் வாமென்னும்
வன்மையின் வன்பாட்ட தில் ⁠1063",30
"இரந்தும் உயிர்வாழ்தல் வேண்டின் பரந்து
கெடுக உலகியற்றி யான் ⁠1062",31
"கரவாது உவந்தீயும் கண்ணன்னார் கண்ணும்
இரவாமை கோடி உறும் ⁠1061",29
"இரப்பான் வெகுளாமை வேண்டும் நிரப்பிடும்பை
தானேயும் சாலும் கரி ⁠1060",29
"ஈவார்கண் என்னுண்டாம் தோற்றம் இரந்துகோள்
மேவார் இலாஅக் கடை ⁠1059",30
"இரப்பாரை இல்லாயின் ஈர்ங்கண்மா ஞாலம்
மரப்பாவை சென்றுவந் தற்று ⁠1058",32
"இகழ்ந்தெள்ளாது ஈவாரைக் காணின் மகிழ்ந்துள்ளம்
உள்ளுள் உவப்பது உடைத்து ⁠1057",36
"கரப்பிடும்பை யில்லாரைக் காணின் நிரப்பிடும்பை
எல்லாம் ஒருங்கு கெடும் ⁠1056",33
"கரப்பிலார் வையகத்து உண்மையால் கண்ணின்று
இரப்பவர் மேற்கொள் வது ⁠1055",33
"இரத்தலும் ஈதலே போலும் கரத்தல்
கனவிலும் தேற்றாதார் மாட்டு ⁠1054",30
"கரப்பிலா நெஞ்சின் கடனறிவார் முன்நின்று
இரப்புமோ ரேஎர் உடைத்து ⁠1053",32
"இன்பம் ஒருவற்கு இரத்தல் இரந்தவை
துன்பம் உறாஅ வரின் ⁠1052",29
"இரக்க இரத்தக்கார்க் காணின் கரப்பின்
அவர்பழி தம்பழி அன்று ⁠1051",32
"துப்புர வில்லார் துவரத் துறவாமை
உப்பிற்கும் காடிக்கும் கூற்று ⁠1050",30
"நெருப்பினுள் துஞ்சலும் ஆகும் நிரப்பினுள்
யாதொன்றும் கண்பாடு அரிது ⁠1049",32
"இன்றும் வருவது கொல்லோ நெருநலும்
கொன்றது போலும் நிரப்பு ⁠1048",27
"அறஞ்சாரா நல்குரவு ஈன்றதா யானும்
பிறன்போல நோக்கப் படும் ⁠1047",29
"நற்பொருள் நன்குணர்ந்து சொல்லினும் நல்கூர்ந்தார்
சொற்பொருள் சோர்வு படும் ⁠1046",35
"நல்குரவு என்னும் இடும்பையுள் பல்குரைத்
துன்பங்கள் சென்று படும் ⁠1045",32
"இற்பிறந்தார் கண்ணேயும் இன்மை இளிவந்த
சொற்பிறக்கும் சோர்வு தரும் ⁠1044",33
"தொல்வரவும் தோலும் கெடுக்கும் தொகையாக
நல்குரவு என்னும் நசை ⁠1043",29
"இன்மை எனவொரு பாவி மறுமையும்
இம்மையும் இன்றி வரும் ⁠1042",25
"இன்மையின் இன்னாதது யாதெனின் இன்மையின்
இன்மையே இன்னா தது ⁠1041",28
"இலமென்று அசைஇ இருப்பாரைக் காணின்
நிலமென்னும் நல்லாள் நகும் ⁠1040",30
"செல்லான் கிழவன் இருப்பின் நிலம்புலந்து
இல்லாளின் ஊடி விடும் ⁠1039",30
"ஏரினும் நன்றால் எருவிடுதல் கட்டபின்
நீரினும் நன்றதன் காப்பு ⁠1038",31
"தொடிப்புழுதி கஃசா உணக்கின் பிடித்தெருவும்
வேண்டாது சாலப் படும் ⁠1037",31
"உழவினார் கைம்மடங்கின் இல்லை விழைவதூஉம்
விட்டேம்என் பார்க்கும் நிலை ⁠1036",34
"இரவார் இரப்பார்க்கொன்று ஈவர் கரவாது
கைசெய்தூண் மாலை யவர் ⁠1035",30
"பலகுடை நீழலும் தங்குடைக்கீழ்க் காண்பர்
அலகுடை நீழ லவர் ⁠1034",29
"உழுதுண்டு வாழ்வாரே வாழ்வார்மற் றெல்லாம்
தொழுதுண்டு பின்செல் பவர் ⁠1033",31
"உழுவார் உலகத்தார்க்கு ஆணிஅஃ தாற்றாது
எழுவாரை எல்லாம் பொறுத்து ⁠1032",32
"சுழன்றும்ஏர்ப் பின்னது உலகம் அதனால்
உழந்தும் உழவே தலை ⁠1031",30
"இடுக்கண்கால் கொன்றிட வீழும் அடுத்தூன்றும்
நல்லாள் இலாத குடி ⁠1030",30
